127.0.0.1 - - [05/May/2022:11:10:43 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:48 +0700] "GET /LinhWine/assets/user/img/vang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:49 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:49 +0700] "GET /LinhWine/assets/user/img/vang5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:49 +0700] "GET /LinhWine/assets/user/img/slides/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:49 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:49 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:10:54 +0700] "GET /LinhWine/assets/user/img/slides/slide2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:11:01 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [05/May/2022:11:11:01 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/May/2022:11:11:03 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [05/May/2022:11:13:10 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [05/May/2022:11:14:39 +0700] "GET /LinhWine/ HTTP/1.1" 200 149572
0:0:0:0:0:0:0:1 - - [05/May/2022:11:14:39 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/May/2022:11:14:39 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:14:39 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:14:39 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:14:39 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:18 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:27 +0700] "GET /LinhWine/ HTTP/1.1" 200 149572
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:27 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:27 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:27 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:27 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:15:27 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:39 +0700] "GET /LinhWine/san-pham/1 HTTP/1.1" 200 58435
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:39 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:39 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:39 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:39 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:40 +0700] "GET /LinhWine/san-pham/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:40 +0700] "GET /LinhWine/san-pham/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:54 +0700] "GET /LinhWine/tim-kiem-san-pham?kw=vang HTTP/1.1" 200 51545
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:54 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/May/2022:11:17:54 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:33 +0700] "GET /LinhWine/chi-tiet-san-pham/1 HTTP/1.1" 200 65534
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:33 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:34 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:34 +0700] "GET /LinhWine/chi-tiet-san-pham/resources/Frontend1/images/2021/03/giao-hang.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:34 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:34 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:18:34 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:10 +0700] "GET /LinhWine/chi-tiet-san-pham/1 HTTP/1.1" 200 65351
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:10 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:10 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:10 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:10 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:20 +0700] "GET /LinhWine/chi-tiet-san-pham/1 HTTP/1.1" 200 65350
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:20 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:20 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:21 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:26 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:51 +0700] "GET /LinhWine/add-cart/1? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:51 +0700] "GET /LinhWine/chi-tiet-san-pham/1 HTTP/1.1" 200 65350
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:51 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:51 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:51 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:52 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:54 +0700] "GET /LinhWine/san-pham/2 HTTP/1.1" 200 55234
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:54 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:54 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:54 +0700] "GET /LinhWine/assets/user/img/whisky2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:54 +0700] "GET /LinhWine/assets/user/img/whisky1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:55 +0700] "GET /LinhWine/chi-tiet-san-pham/8 HTTP/1.1" 200 59246
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:55 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:55 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:58 +0700] "GET /LinhWine/add-cart/8? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:58 +0700] "GET /LinhWine/chi-tiet-san-pham/8 HTTP/1.1" 200 59246
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:58 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:58 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:59 +0700] "GET /LinhWine/gio-hang HTTP/1.1" 200 53532
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:59 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/May/2022:11:19:59 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:52 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:54 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:55 +0700] "GET /LinhWine/quan-tri/trang-chu HTTP/1.1" 200 11395
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:55 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:55 +0700] "GET /LinhWine/assets/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:55 +0700] "GET /LinhWine/assets/admin/vendors/base/vendor.bundle.base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:55 +0700] "GET /LinhWine/assets/admin/vendors/datatables.net-bs4/dataTables.bootstrap4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:55 +0700] "GET /LinhWine/assets/admin/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/off-canvas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/hoverable-collapse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/vendors/mdi/fonts/materialdesignicons-webfont.woff2?v=2.8.94 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/fonts/Roboto/Roboto-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/vendors/datatables.net-bs4/dataTables.bootstrap4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/fonts/Roboto/Roboto-Medium.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/vendors/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/vendors/datatables.net/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/template.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/data-table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/vendors/base/vendor.bundle.base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/fonts/Roboto/Roboto-Bold.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/dataTables.bootstrap4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/assets/admin/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:23:56 +0700] "GET /LinhWine/quan-tri/images/favicon.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:24:05 +0700] "GET /LinhWine/quan-tri/quan-ly-san-pham HTTP/1.1" 200 23132
0:0:0:0:0:0:0:1 - - [05/May/2022:11:24:05 +0700] "GET /LinhWine/assets/admin/fonts/Roboto/Roboto-Light.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:27:01 +0700] "GET /LinhWine/quan-tri/quan-ly-danh-muc HTTP/1.1" 200 20557
0:0:0:0:0:0:0:1 - - [05/May/2022:11:27:01 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:27:45 +0700] "GET /LinhWine/quan-tri/trang-chu HTTP/1.1" 200 11391
0:0:0:0:0:0:0:1 - - [05/May/2022:11:27:46 +0700] "GET /LinhWine/quan-tri/quan-ly-san-pham HTTP/1.1" 200 23128
0:0:0:0:0:0:0:1 - - [05/May/2022:11:28:17 +0700] "GET /LinhWine/quan-tri/quan-ly-danh-muc HTTP/1.1" 200 20553
0:0:0:0:0:0:0:1 - - [05/May/2022:11:28:50 +0700] "GET /LinhWine/quan-tri/quan-ly-hoa-don HTTP/1.1" 200 21437
0:0:0:0:0:0:0:1 - - [05/May/2022:11:29:44 +0700] "GET /LinhWine/quan-tri/quan-ly-hoa-don HTTP/1.1" 200 21705
0:0:0:0:0:0:0:1 - - [05/May/2022:11:29:45 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:30:13 +0700] "GET /LinhWine/quan-tri/quan-ly-tai-khoan HTTP/1.1" 200 12798
0:0:0:0:0:0:0:1 - - [05/May/2022:11:30:47 +0700] "GET /LinhWine/quan-tri/thong-ke HTTP/1.1" 200 9060
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:46 +0700] "GET /LinhWine/dang-xuat HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:46 +0700] "GET /LinhWine/quan-tri/thong-ke HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:46 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:47 +0700] "GET /LinhWine/ HTTP/1.1" 200 149572
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:47 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:47 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:47 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:47 +0700] "GET /LinhWine/assets/user/img/null HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:49 +0700] "GET /LinhWine/san-pham/2 HTTP/1.1" 200 55234
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:49 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:49 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:53 +0700] "GET /LinhWine/chi-tiet-san-pham/9 HTTP/1.1" 200 65465
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:53 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/May/2022:11:33:53 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
